Arabidopsis	Tobacco	Tomato	Rice	Maize
GATB	0.11867366570248	0.231249646851786	0.360427734744821	0.406776399546569	0.241158923943645
HEMA1/2/3	5.90539320280964	10	10	2.27592268683423	0.475256212890213
GSA1/2	0.735495175534619	0.677577524839303	0.383511844803323	0.796799054711303	1.99946356288425
HEMB1/2	1.07623308425462	3.62509319615115	1.46386072514873	0.223984240319233	1.52200290778139
HEMC	0.641252092677219	10	10	0.460963256512014	0.241158923943645
HEMD	0.115677772825265	0.242657533576889	4.17243100740812	0.313816657719346	0.241158923943645
HEME1	0.822403965081394	0.231249646851786	0.163034645834481	0.227746923242438	0.241158923943645
HEME2	0.377004023998107	10	4.01899945308983	2.36259628254767	0.241158923943645
HEMF1	0.270213241461855	0.785062844869517	6.26171128605563	2.14595885217667	1.3353452122848
PPO1	1.23145900792431	0.874048097262383	3.79879688911171	4.28101488138009	0.241158923943645
PPO2	0.445086607765838	0.231249646851786	0.569808155993447	0.208778924426899	0.241158923943645
GUN5	7.60461018080154	10	10	10	10
CHLI1/2	0.115677772825265	0.600397983600451	10	10	0.241158923943645
CHLD	0.945842005217721	0.75394828270781	0.454823761257963	0.370465152840086	0.241158923943645
CHLM	5.40176484999818	0.407073433688248	10	9.49462651398998	0.241158923943645
CHL27	4.04371939770475	10	10	0.792816172181955	10
PCB2	0.379377765759655	0.245674530107737	3.36953945242786	0.49840208459458	0.241158923943645
PORA/B/C	9.29797797129394	10	10	10	5.23076115066582
CHLG	0.115677772825265	0.231249646851786	0.163034645834481	0.208778924426899	0.241158923943645
CAO	3.00148816470924	10	10	10	10
