GO	Number	p_value	Species
36	PS	90	2.17423412405063e-46	Nben
73	PS	85	5.00196422136484e-39	Slyc
1	PS	49	1.05805467120618e-30	Atha
110	PS	44	2.64252870078148e-27	Osat
145	PS	35	3.30160914071293e-15	Zmay
74	tetrapyrrole synthesis	19	4.38638365280904e-14	Slyc
37	tetrapyrrole synthesis	15	1.44772696837572e-11	Nben
2	hormone metabolism	38	1.05961798269283e-06	Atha
3	RNA	133	3.0488523220562e-06	Atha
38	lipid metabolism	31	4.17329348379389e-06	Nben
111	tetrapyrrole synthesis	11	8.80504718061929e-06	Osat
39	RNA	111	2.66472279444292e-05	Nben
112	RNA	86	7.95217405675694e-05	Osat
4	tetrapyrrole synthesis	8	0.000127161820296726	Atha
146	tetrapyrrole synthesis	8	0.000194984539653196	Zmay
147	signalling	74	0.000373681818961654	Zmay
75	redox	19	0.000636597377388902	Slyc
113	hormone metabolism	24	0.000686425418686718	Osat
76	major CHO metabolism	11	0.000907483470955181	Slyc
114	lipid metabolism	15	0.00132050280528275	Osat
115	cell	20	0.00163603006268617	Osat
5	signalling	58	0.0019820677121998	Atha
116	development	21	0.00305621298907297	Osat
148	lipid metabolism	29	0.00585423988787292	Zmay
77	RNA	125	0.00650309932812561	Slyc
40	minor CHO metabolism	9	0.00746110833135187	Nben
117	secondary metabolism	16	0.0102331963414059	Osat
118	protein	71	0.0104304111780173	Osat
149	stress	39	0.0184566568087689	Zmay
41	mino acid metabolism	2	0.0234835642942585	Nben
78	polyamine metabolism	3	0.0299840752286128	Slyc
6	redox	11	0.0391517657539455	Atha
119	redox	7	0.043452197487321	Osat
120	TCA / organic transformation	3	0.0466878289612234	Osat
150	hormone metabolism	29	0.0696204159435321	Zmay
123	major CHO metabolism	5	0.0815161559872958	Osat
42	major CHO metabolism	6	0.0873859677528208	Nben
152	major CHO metabolism	7	0.0947730004550071	Zmay
153	redox	10	0.125483232020435	Zmay
7	minor CHO metabolism	6	0.140525498685528	Atha
154	RNA	106	0.145547106334728	Zmay
8	major CHO metabolism	5	0.159054552704398	Atha
81	protein	131	0.172771771131758	Slyc
43	redox	8	0.174002031386198	Nben
9	stress	40	0.183152611964272	Atha
45	stress	25	0.206108896931403	Nben
12	lipid metabolism	15	0.221186131450212	Atha
84	lipid metabolism	21	0.224523594178655	Slyc
128	polyamine metabolism	1	0.252668258420664	Osat
47	polyamine metabolism	1	0.31235254908256	Nben
130	minor CHO metabolism	3	0.315597664664205	Osat
158	polyamine metabolism	1	0.330634007655852	Zmay
86	minor CHO metabolism	5	0.340655774209456	Slyc
15	secondary metabolism	14	0.357652979202659	Atha
160	minor CHO metabolism	6	0.389261300021113	Zmay
161	development	27	0.421298695506131	Zmay
17	development	23	0.431544388867098	Atha
131	signalling	33	0.435239341130128	Osat
89	hormone metabolism	29	0.622232806914078	Slyc
134	stress	16	0.634753502939205	Osat
90	development	24	0.639302799488927	Slyc
53	signalling	34	0.650536653808572	Nben
93	secondary metabolism	23	0.729555723372731	Slyc
20	cell	20	0.756842341495957	Atha
54	hormone metabolism	13	0.782902357828524	Nben
167	protein	104	0.858267499704452	Zmay
57	development	14	0.923747993117664	Nben
58	cell	16	0.928693256876475	Nben
59	secondary metabolism	9	0.94377533148262	Nben
171	secondary metabolism	12	0.963055963490063	Zmay
98	stress	28	0.96607799687673	Slyc
99	cell	15	0.990851109664363	Slyc
173	cell	17	0.991225593098872	Zmay
100	signalling	41	0.998097171093763	Slyc
63	protein	65	0.99934319561187	Nben
28	protein	85	0.999976333243049	Atha
33	polyamine metabolism	0	1	Atha
103	mino acid metabolism	0	1	Slyc
176	mino acid metabolism	0	1	Zmay
