Group	Score
5	601.90915
5	441.82216
5	1004.34057
5	112.71811
5	2784.21263
5	77.54702
5	58.50666
5	236.75033
5	166.66268
5	485.70281
5	137.60602
5	280.78154
5	2572.7904
5	6380.65957
5	6171.21821
5	3999.26084
5	3136.24711
5	5293.72825
5	4018.66995
5	7611.70164
5	2731.37852
5	2731.37852
5	5193.44536
5	5966.23722
5	3646.90764
5	401.42418
5	62.68559
5	73.88192
5	225.0474
5	202.65347
5	991.18721
5	629.9115
5	61.37153
5	228.96944
5	816.17615
5	2874.66741
5	862.91336
5	46.68505
5	162.69788
5	455.22441
5	4840.10326
5	4391.53341
5	5544.74328
4	935.51576
4	181.13601
4	350.86891
5	103.22423
5	123.91598
5	86.58827
5	56.2112
5	2856.78203
5	1431.79556
5	90.64488
5	419.62625
5	1001.09645
5	663.08021
5	224.56612
4	358.95233
4	508.71456
4	203.56372
4	103.66389
5	889.13393
5	107.24857
5	42.89627
4	243.97129
4	NA
5	318.39269
5	193.29802
5	420.74679
5	147.58663
5	168.23043
5	252.31057
4	101.21557
5	299.76736
5	668.85346
5	266.22553
5	888.12697
5	117.58697
5	430.49186
5	1579.77872
5	156.92503
5	203.14855
5	66.95732
5	232.70739
5	1007.22699
5	902.03308
5	951.11756
5	556.50056
5	NA
5	2182.13403
5	70.88701
4	134.24969
4	211.91173
4	260.25962
4	352.13046
4	394.21628
4	1944.41106
4	135.73448
3	212.00501
4	2044.79029
4	2995.66677
4	1024.49212
5	989.69705
5	3027.51273
5	6031.45878
5	235.69206
4	888.2041
4	2778.32601
5	3424.15318
5	3231.85399
5	3731.73529
5	1183.51852
5	3582.55743
5	2390.10221
4	618.32138
4	1611.37002
4	403.1788
4	327.69703
4	419.52311
4	1257.60776
4	222.64391
5	479.59273
5	106.37153
5	1332.09781
5	6400.16213
5	662.9757
5	264.14007
5	286.90998
4	1231.31558
4	371.33958
5	5974.29651
5	4290.14641
4	840.44885
4	336.89906
5	4222.12393
5	3182.38375
4	5328.26977
4	4265.515
5	255.87022
5	220.97414
4	NA
4	1680.45434
5	210.97994
5	866.76512
5	832.30392
5	113.83706
5	5493.04171
5	839.31986
5	416.91244
5	252.04976
4	1999.72459
4	949.11967
4	42.28491
5	11501.09441
4	585.59318
4	7323.18169
4	3433.26949
4	1623.04914
2	227.64665
4	345.20182
4	246.89181
4	746.34009
5	4710.70661
5	2744.19339
4	367.45258
4	4015.45799
4	678.21565
4	252.19166
5	628.34713
5	3448.01526
4	1420.90443
4	592.17607
5	2420.80885
5	6476.05952
5	3183.953
5	1593.79608
4	441.73002
4	71.06444
4	105.60446
4	1026.50033
4	NA
4	326.5921
5	5069.09267
4	294.08636
4	259.93358
4	227.03711
4	197.08437
4	165.13431
4	312.20165
4	984.07564
4	372.01507
4	54.14892
4	565.03034
5	2340.2604
5	2838.51287
5	3104.91393
4	2773.10761
5	1465.36142
4	129.21561
3	330.46679
3	236.61519
4	284.68836
3	597.9406
4	678.29076
4	2316.26032
3	61.57964
3	349.19538
3	360.40084
3	NA
4	2740.34679
5	198.19911
5	168.22867
5	5026.66503
5	2759.22556
5	3539.38096
4	55.85243
4	241.27113
4	324.32584
5	1795.56028
3	514.06769
3	474.11723
3	91.55464
3	64.53566
4	3582.55743
3	488.35075
3	1244.24056
4	338.27052
3	311.71285
3	473.2009
3	NA
3	282.22792
3	2171.90107
4	5753.84594
3	140.165
3	256.36695
3	494.42632
5	925.69386
4	2931.85503
4	4133.74586
4	142.14266
4	494.92296
4	33.73991
4	441.55811
2	123.00467
2	210.95068
4	377.22489
3	401.48944
3	474.05906
3	574.87403
4	103.33025
4	648.85227
3	248.03439
3	178.68106
4	235.37575
4	259.42034
5	1980.06361
3	266.77398
4	94.06357
4	854.62977
4	337.35319
4	1181.14174
4	899.72036
3	2145.54795
3	300.19591
5	2045.08465
4	384.71341
4	1256.20779
4	509.78489
4	890.95222
4	137.73524
5	2340.80652
4	1200.10718
3	87.1233
4	932.09798
3	508.32349
3	284.18184
3	552.67553
3	826.56775
3	411.56347
3	412.00146
3	262.95017
3	826.56775
4	1122.81438
4	1212.02577
3	797.01352
4	686.82147
4	187.00817
3	184.19133
4	548.42608
4	98.38827
4	5180.27066
3	363.78444
3	216.41013
3	140.39969
3	6231.34178
4	497.54892
3	2938.67587
3	35.00951
3	309.56485
3	228.77053
3	58.26917
4	762.23456
3	11501.09441
3	78.04919
3	301.1422
3	88.44792
3	1236.57007
3	285.38458
3	348.69777
3	NA
3	672.84569
3	2899.84178
3	458.47199
3	425.17089
2	662.13529
2	121.4765
4	3071.89083
4	322.04236
3	156.80427
4	240.56664
3	206.09509
2	225.81423
2	NA
3	1735.83033
3	1636.86697
4	240.32882
3	59.01161
3	136.69111
4	5886.967
3	2145.54795
3	3231.85399
4	994.97225
3	495.29536
3	NA
3	NA
3	294.12874
3	1007.22699
4	1538.4708
3	1713.84442
3	313.12699
3	47.77436
4	2352.45414
3	123.78887
3	265.03491
3	241.80685
3	364.12621
3	1224.12293
3	2002.35903
3	686.01842
3	556.73529
2	110.96262
2	588.22708
3	1352.94027
2	1109.28294
2	123.82139
3	540.12211
4	167.50223
4	365.56119
3	89.28022
3	303.70018
3	449.01851
3	718.42718
3	6951.54115
3	408.03014
3	661.84325
3	993.7455
3	524.50723
3	1563.73957
3	607.21523
3	599.7008
3	137.1032
2	139.78486
2	98.07995
3	386.95469
3	53.22351
3	621.05123
3	156.10019
3	259.53657
3	549.07182
2	249.46433
3	164.09566
3	330.78353
3	478.39608
2	118.94183
3	2539.58199
2	1360.71534
2	61.46295
2	66.09379
3	825.87998
3	168.78618
3	284.07419
3	1079.7902
3	1189.92609
2	58.69015
3	384.5143
3	282.26411
3	214.88795
3	187.65778
3	1536.4533
3	417.66395
3	134.9447
3	89.81441
3	194.93723
3	1469.46744
3	NA
3	123.76046
3	560.65217
2	164.21109
2	410.01932
3	353.84266
3	1502.75242
3	175.36181
3	639.51091
3	84.55543
3	1386.95445
3	1082.25983
3	256.93614
3	3709.96223
3	2902.68642
3	257.2954
3	1114.59123
3	195.08225
3	664.95875
3	180.00785
3	924.78258
