fc	zscore	Group	GO_category
-1.252915858	2.29874747856587	Conserved	Other
-0.196674584	2.29874747856587	Unconserved	Other
-0.856111416	0.451684007968678	Unconserved	Other
-4.530422346	-0.322637339392197	Unconserved	Other
-0.622947522	0.743503059821658	Unconserved	Other
-0.778201671	1.64125345180035	Unconserved	Other
-0.3591777	-0.0212425117832431	Unconserved	Other
-1.067702863	-0.0387702385554223	Unconserved	PS/tetrapyrrole_synthesis
-2.864124979	0.790018736190624	Unconserved	Other
-0.423957089	0.484676410978941	Unconserved	Other
-0.863031102	0.345518805705763	Unconserved	PS/tetrapyrrole_synthesis
-0.981365621	-1.09578922092475	Conserved	Other
-0.854315684	0.0499910453993655	Unconserved	Other
-4.131793421	1.06646167858749	Unconserved	Other
-0.415864538	-0.286291900341727	Unconserved	Other
-0.084749938	0.452190155178502	Unconserved	Other
-0.156323402	0.369941139834475	Unconserved	Other
-1.877794257	0.995304492479057	Unconserved	Other
-0.325282057	-0.386210561782779	Unconserved	Other
0.601797961	-0.639729393377663	Unconserved	Other
0.597135514	-0.795918742373774	Unconserved	Other
-0.423995278	-0.233506230400874	Unconserved	Other
-1.615459561	1.26688474690347	Unconserved	Other
0.018464324	-0.211458967664947	Unconserved	Other
-2.742401591	1.48871294761136	Unconserved	Other
-1.087403069	0.735607327469758	Unconserved	Other
0.466211092	-1.69886703864309	Unconserved	Other
-1.875514974	1.20608068699698	Conserved	Other
-2.18614911	-0.563358069546827	Unconserved	Other
-3.081900923	-0.314972253707881	Unconserved	Other
-1.0023584	1.4685936626715	Unconserved	Other
0.678764413	1.4685936626715	Unconserved	Other
-2.549507268	0.386340436890279	Conserved	Other
-1.947289435	-0.546318138435766	Unconserved	Other
0.033041195	-0.714245325317985	Unconserved	Other
-0.537248631	-0.167247700642398	Unconserved	Other
-2.101387332	1.58081139165096	Unconserved	Other
-0.602588162	-0.0283908925220131	Unconserved	Other
-1.149149161	1.09258994723591	Unconserved	Other
-0.131268444	0.692507626465013	Unconserved	Other
0.120771143	0.24348044373235	Unconserved	Other
-0.441363673	-0.00580024927831741	Unconserved	Other
1.412190963	0.030700806513629	Unconserved	Other
-0.144007384	0.85668060411052	Unconserved	Other
1.70743851	-0.0896159578823172	Unconserved	Other
-0.2134236	0.434154342093993	Unconserved	Other
-0.887646837	1.88138841870248	Unconserved	Other
-2.956643759	1.88138841870248	Conserved	PS/tetrapyrrole_synthesis
0.275777445	1.88138841870248	Unconserved	Other
-0.513622479	1.83034908585815	Unconserved	Other
-3.075667969	1.83034908585815	Conserved	PS/tetrapyrrole_synthesis
0.873395207	-1.77320174567567	Unconserved	Other
-0.59415071	0.97821976729701	Unconserved	Other
-0.68252149	1.2814651152755	Unconserved	Other
-2.179191528	0.216941873033692	Unconserved	Other
-0.884538006	-0.253233987263554	Unconserved	Other
1.159703186	-0.712451688806588	Unconserved	Other
-0.241194526	-0.94068665296093	Unconserved	Other
-0.821851744	0.412501748089922	Unconserved	Other
0.57173334	-0.165044193425109	Unconserved	Other
-0.084210507	0.430396824411422	Unconserved	Other
-0.86170547	-0.345709268590169	Unconserved	Other
-0.716536577	-1.29289485098109	Unconserved	Other
0.241859629	1.10468322408878	Unconserved	Other
-1.067793574	1.01491158972412	Unconserved	Other
0.765653014	0.425399949216248	Unconserved	Other
-1.037663577	0.380354027403051	Unconserved	Other
-1.797106128	-0.0299572834608024	Unconserved	Other
-0.0115895	-0.101773594101195	Unconserved	Other
-0.25584895	0.864276811176122	Unconserved	Other
-0.546043755	-0.0113883199411251	Unconserved	PS/tetrapyrrole_synthesis
-0.069192054	0.430007257701047	Unconserved	Other
0.354329793	-0.24099607680309	Unconserved	Other
-0.668314695	-0.130397101605813	Unconserved	Other
-0.746249371	0.183908472006127	Unconserved	Other
-2.039456002	0.0114349617845144	Unconserved	Other
0.565674025	0.283604484740692	Unconserved	Other
0.307637877	0.104800224331914	Unconserved	Other
0.385642187	0.369949123200153	Unconserved	Other
-2.344769142	1.53619987091538	Unconserved	Other
-0.398283744	-1.06766858042894	Unconserved	PS/tetrapyrrole_synthesis
-0.23487089	1.15413883281969	Unconserved	Other
-0.502235583	0.886055304317125	Unconserved	Other
-0.502235583	0.886055304317125	Unconserved	Other
-0.54836871	0.485485316787536	Unconserved	Other
0.183572475	0.250539787213798	Unconserved	Other
-1.801216083	1.57518501746588	Conserved	PS/tetrapyrrole_synthesis
-4.600949388	0.143259906787469	Unconserved	Other
-0.188597162	-1.43912467401151	Unconserved	Other
0.95863314	-1.9135988479698	Unconserved	Other
-2.36574584	2.2718533571484	Unconserved	PS/tetrapyrrole_synthesis
-2.409667336	2.07540451143267	Unconserved	PS/tetrapyrrole_synthesis
-1.295958786	0.817566434896827	Unconserved	Other
-3.260875165	1.62895399408846	Unconserved	Other
-1.959887282	1.62895399408846	Conserved	PS/tetrapyrrole_synthesis
-7.787945241	2.43102050969701	Conserved	PS/tetrapyrrole_synthesis
-8.008345583	2.40154817805713	Conserved	PS/tetrapyrrole_synthesis
-6.394213646	2.01848828867153	Conserved	PS/tetrapyrrole_synthesis
-7.779870169	1.80383160483513	Conserved	PS/tetrapyrrole_synthesis
-8.912312038	2.26611011408718	Conserved	PS/tetrapyrrole_synthesis
-4.5201956	2.02276356906946	Conserved	PS/tetrapyrrole_synthesis
-0.553254928	1.48305053517137	Unconserved	Other
0.311808435	-0.216166276722676	Conserved	Other
-0.540981304	-0.1447763693656	Unconserved	Other
-0.611143457	0.307585981230861	Unconserved	Other
1.587592488	-0.462473188428237	Unconserved	Other
-1.104864235	-0.0439499608882014	Unconserved	Other
-0.551182036	0.447225211867381	Unconserved	Other
3.388358291	0.451586217540173	Unconserved	Other
2.221055886	-0.42200426340583	Unconserved	Other
-0.175082412	-0.612967739427486	Conserved	Other
-0.01938638	0.317164992197087	Unconserved	Other
-1.226223248	-0.228001355764967	Unconserved	Other
-0.323292732	-0.163270688417171	Unconserved	Other
-2.20679262	2.95129388289954	Conserved	PS/tetrapyrrole_synthesis
-0.256764645	2.95129388289954	Unconserved	Other
-1.435559487	1.17372364367621	Unconserved	PS/tetrapyrrole_synthesis
-0.036326119	-0.217423786683559	Unconserved	Other
-1.391665116	1.73549134594383	Unconserved	Other
-0.532912598	0.444566515025933	Unconserved	Other
-0.37542179	-0.0989666432977476	Unconserved	Other
-0.25629405	-0.183298170202265	Unconserved	Other
0.404346132	0.952579705159164	Unconserved	Other
-0.030797918	0.304091332455917	Unconserved	Other
-0.418050609	0.722912033606358	Unconserved	Other
0.03785212	0.110969194564749	Unconserved	Other
-1.005055534	0.0865556540135476	Unconserved	PS/tetrapyrrole_synthesis
0.095376071	-0.269396091253559	Conserved	Other
-0.492031213	0.0611135430291433	Unconserved	Other
-0.492031213	0.0611135430291433	Unconserved	Other
-0.844177693	0.809437298930178	Unconserved	Other
-1.19092762	0.135332777959092	Unconserved	PS/tetrapyrrole_synthesis
0.09691916	-1.18492263643913	Unconserved	Other
-2.344377654	2.24697819857305	Unconserved	Other
-3.874780379	-2.04229504762223	Unconserved	Other
-0.815710668	-0.324093473711711	Unconserved	Other
-0.042176845	-1.79008748952551	Unconserved	Other
-1.472874822	1.40643900308874	Unconserved	Other
-1.472874822	1.40643900308874	Unconserved	Other
0.179519649	-0.0786670735643687	Unconserved	Other
-0.700721545	-0.723377813277878	Unconserved	Other
-2.298056584	1.61748165045676	Unconserved	Other
0.490777628	-0.0107987752352577	Unconserved	Other
-1.84403884	1.7855225650191	Unconserved	Other
0.378922624	0.967256471209393	Unconserved	Other
-0.364653574	0.135468898308804	Unconserved	Other
0.049974584	-0.841626661193628	Unconserved	Other
-0.290162192	-0.259161872687881	Unconserved	Other
-0.206008525	-0.286164654024699	Unconserved	Other
-1.52602481	1.7214146266448	Conserved	Other
-2.170790079	2.44412579258791	Conserved	PS/tetrapyrrole_synthesis
-0.348293299	2.44412579258791	Unconserved	Other
0.318818317	0.750212864947586	Conserved	Other
-0.83916145	0.581786088203817	Unconserved	Other
-1.605239013	1.46180670046008	Unconserved	Other
-4.1812249	0.242023701789406	Unconserved	Other
-0.820076231	0.342625196944302	Unconserved	Other
0.183572475	0.632377268122521	Conserved	Other
-0.212373145	0.264012869839477	Unconserved	Other
0.115641638	0.0181618131479441	Unconserved	Other
0.364538558	-0.407504002083903	Unconserved	Other
-0.760441258	0.690703600777462	Conserved	Other
-0.171402201	-0.811906690884297	Unconserved	Other
-0.757611686	-1.70460998255106	Unconserved	Other
-0.453645676	1.95218116985082	Unconserved	Other
0.195930214	-1.21779387445395	Unconserved	Other
-0.145396278	-0.297273606472854	Unconserved	Other
-0.483859488	0.0452102554706585	Unconserved	Other
-2.095793619	1.68177457850986	Conserved	PS/tetrapyrrole_synthesis
-3.404639433	1.68177457850986	Conserved	PS/tetrapyrrole_synthesis
-5.507803345	2.24922118709006	Conserved	PS/tetrapyrrole_synthesis
0.012080851	0.9146648548293	Unconserved	Other
-0.821907853	0.361331140444815	Unconserved	Other
-0.821907853	0.361331140444815	Unconserved	Other
-1.650807536	0.346185193497999	Conserved	Other
-0.450595531	-0.395303355899108	Unconserved	Other
0.188174234	0.399696150438088	Unconserved	Other
